1.5449 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
22.4322 	EXP 	GA: autoDraw = True
22.4322 	EXP 	aperture: enabled = True
22.4322 	EXP 	GA: tex = 'sqr'
23.4328 	EXP 	GA: autoDraw = False
23.4328 	EXP 	aperture: enabled = False
23.4328 	EXP 	GA: autoDraw = False
23.4328 	EXP 	aperture: autoDraw = False
23.4328 	EXP 	aperture: enabled = False
23.4328 	EXP 	placeholder: autoDraw = True
23.6632 	EXP 	New trial (rep=3, index=0): None
23.6770 	DATA 	Keypress: left
23.6818 	EXP 	placeholder: autoDraw = False
23.6818 	EXP 	aperture: enabled = True
23.6818 	EXP 	GA: autoDraw = True
23.6818 	EXP 	aperture: enabled = True
23.6818 	EXP 	GA: tex = 'sqr'
24.6828 	EXP 	GA: autoDraw = False
24.6828 	EXP 	aperture: enabled = False
24.6828 	EXP 	GA: autoDraw = False
24.6828 	EXP 	aperture: autoDraw = False
24.6828 	EXP 	aperture: enabled = False
24.6828 	EXP 	placeholder: autoDraw = True
24.9126 	EXP 	New trial (rep=3, index=0): None
24.9130 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
24.9131 	EXP 	New trial (rep=0, index=0): None
24.9224 	DATA 	Keypress: right
24.9266 	EXP 	placeholder: autoDraw = False
24.9266 	EXP 	aperture: enabled = True
24.9266 	EXP 	GA: autoDraw = True
24.9266 	EXP 	aperture: enabled = True
24.9266 	EXP 	GA: tex = 'sqr'
25.9258 	EXP 	GA: autoDraw = False
25.9258 	EXP 	aperture: enabled = False
25.9258 	EXP 	GA: autoDraw = False
25.9258 	EXP 	aperture: autoDraw = False
25.9258 	EXP 	aperture: enabled = False
25.9258 	EXP 	placeholder: autoDraw = True
26.1420 	EXP 	New trial (rep=1, index=0): None
26.1524 	DATA 	Keypress: left
26.1566 	EXP 	placeholder: autoDraw = False
26.1566 	EXP 	aperture: enabled = True
26.1566 	EXP 	GA: autoDraw = True
26.1566 	EXP 	aperture: enabled = True
26.1566 	EXP 	GA: tex = 'sqr'
27.1550 	EXP 	GA: autoDraw = False
27.1550 	EXP 	aperture: enabled = False
27.1550 	EXP 	GA: autoDraw = False
27.1550 	EXP 	aperture: autoDraw = False
27.1550 	EXP 	aperture: enabled = False
27.1550 	EXP 	placeholder: autoDraw = True
27.3991 	EXP 	New trial (rep=2, index=0): None
27.4132 	DATA 	Keypress: left
27.4180 	EXP 	placeholder: autoDraw = False
27.4180 	EXP 	aperture: enabled = True
27.4180 	EXP 	GA: autoDraw = True
27.4180 	EXP 	aperture: enabled = True
27.4180 	EXP 	GA: tex = 'sqr'
28.4188 	EXP 	GA: autoDraw = False
28.4188 	EXP 	aperture: enabled = False
28.4188 	EXP 	GA: autoDraw = False
28.4188 	EXP 	aperture: autoDraw = False
28.4188 	EXP 	aperture: enabled = False
28.4188 	EXP 	placeholder: autoDraw = True
28.6764 	EXP 	New trial (rep=3, index=0): None
28.6861 	DATA 	Keypress: right
28.6905 	EXP 	placeholder: autoDraw = False
28.6905 	EXP 	aperture: enabled = True
28.6905 	EXP 	GA: autoDraw = True
28.6905 	EXP 	aperture: enabled = True
28.6905 	EXP 	GA: tex = 'sqr'
29.6896 	EXP 	GA: autoDraw = False
29.6896 	EXP 	aperture: enabled = False
29.6896 	EXP 	GA: autoDraw = False
29.6896 	EXP 	aperture: autoDraw = False
29.6896 	EXP 	aperture: enabled = False
29.6896 	EXP 	placeholder: autoDraw = True
29.8778 	DATA 	Keypress: right
29.8840 	EXP 	placeholder: autoDraw = False
29.9273 	EXP 	window1: mouseVisible = True
