65.6088 	EXP 	aperture: autoDraw = False
65.6088 	EXP 	aperture: enabled = False
65.6088 	EXP 	placeholder: autoDraw = True
66.6055 	EXP 	New trial (rep=3, index=0): None
66.6059 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
66.6060 	EXP 	New trial (rep=0, index=0): None
68.8440 	EXP 	placeholder: autoDraw = False
68.8440 	EXP 	placeholder: autoDraw = False
68.8440 	EXP 	aperture: enabled = True
68.8440 	EXP 	GA: autoDraw = True
68.8440 	EXP 	aperture: enabled = True
68.8440 	EXP 	GA: tex = 'sqr'
70.3509 	EXP 	GA: autoDraw = False
70.3509 	EXP 	aperture: enabled = False
70.3509 	EXP 	GA: autoDraw = False
70.3509 	EXP 	aperture: autoDraw = False
70.3509 	EXP 	aperture: enabled = False
70.3509 	EXP 	placeholder: autoDraw = True
71.3481 	EXP 	New trial (rep=1, index=0): None
73.5862 	EXP 	placeholder: autoDraw = False
73.5862 	EXP 	aperture: enabled = True
73.5862 	EXP 	GA: autoDraw = True
73.5862 	EXP 	aperture: enabled = True
73.5862 	EXP 	GA: tex = 'sqr'
75.0422 	EXP 	GA: autoDraw = False
75.0422 	EXP 	aperture: enabled = False
75.0422 	EXP 	GA: autoDraw = False
75.0422 	EXP 	aperture: autoDraw = False
75.0422 	EXP 	aperture: enabled = False
75.0422 	EXP 	placeholder: autoDraw = True
76.0354 	EXP 	New trial (rep=2, index=0): None
78.2496 	EXP 	placeholder: autoDraw = False
78.2496 	EXP 	placeholder: autoDraw = False
78.2496 	EXP 	aperture: enabled = True
78.2496 	EXP 	GA: autoDraw = True
78.2496 	EXP 	aperture: enabled = True
78.2496 	EXP 	GA: tex = 'sqr'
79.7394 	EXP 	GA: autoDraw = False
79.7394 	EXP 	aperture: enabled = False
79.7394 	EXP 	GA: autoDraw = False
79.7394 	EXP 	aperture: autoDraw = False
79.7394 	EXP 	aperture: enabled = False
79.7394 	EXP 	placeholder: autoDraw = True
80.7369 	EXP 	New trial (rep=3, index=0): None
82.9716 	EXP 	placeholder: autoDraw = False
82.9716 	EXP 	aperture: enabled = True
82.9716 	EXP 	GA: autoDraw = True
82.9716 	EXP 	aperture: enabled = True
82.9716 	EXP 	GA: tex = 'sqr'
84.4604 	EXP 	GA: autoDraw = False
84.4604 	EXP 	aperture: enabled = False
84.4604 	EXP 	GA: autoDraw = False
84.4604 	EXP 	aperture: autoDraw = False
84.4604 	EXP 	aperture: enabled = False
84.4604 	EXP 	placeholder: autoDraw = True
85.4657 	EXP 	placeholder: autoDraw = False
85.7829 	EXP 	window1: mouseVisible = True
